tid,governo_alinhamento~Lula_2/indefinido,governo_alinhamento~Lula_2/nao se aplica,governo_alinhamento~Lula_2/votou com o governo,governo_alinhamento~Lula_2/votou contra o governo,orientacaoGoverno~Liberado,orientacaoGoverno~Não,orientacaoGoverno~Obstrução,orientacaoGoverno~Sim,partido~Avante,partido~Cidadania,partido~DEM,partido~MDB,partido~PAN,partido~PCdoB,partido~PDT,partido~PHS,partido~PL,partido~PMN,partido~PP,partido~PRB,partido~PRTB,partido~PSB,partido~PSC,partido~PSDB,partido~PSOL,partido~PT,partido~PTB,partido~PTC,partido~PV,partido~Sem_Partido,tipoProposicao~MPV,tipoProposicao~MSC,tipoProposicao~PDC,tipoProposicao~PEC,tipoProposicao~PL,tipoProposicao~PLP,tipoProposicao~PLV,tipoProposicao~PRC,tipoProposicao~REC,tipoProposicao~REQ
1,0,13,11,13,6,15,0,16,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,8,3,4,0,0,0,0
2,0,1,2,0,1,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
3,5,10,75,7,9,49,0,39,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,29,5,13,0,0,0,0
4,0,14,78,2,14,43,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,0,44,0,0,35,7,8,0,0,0,0
5,1,11,67,4,11,36,0,36,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,27,7,7,0,0,0,0
6,1,26,9,25,8,33,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,30,0,0,14,6,11,0,0,0,0
7,1,9,76,6,9,45,0,38,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,42,0,0,29,7,14,0,0,0,0
8,1,12,74,4,12,41,0,38,0,0,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,35,7,16,0,0,0,0
9,1,27,8,32,4,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,26,0,0,27,5,10,0,0,0,0
10,0,0,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
11,0,59,12,32,18,47,0,38,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,30,7,17,0,0,0,0
12,0,13,79,2,13,45,0,36,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,33,6,15,0,0,0,0
13,0,11,53,5,11,31,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,31,0,0,21,6,11,0,0,0,0
14,0,11,68,0,10,32,0,37,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,27,1,13,0,0,0,0
15,0,2,33,4,1,15,0,23,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,19,4,3,0,0,0,0
16,0,21,9,27,8,25,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,23,0,0,17,4,13,0,0,0,0
17,0,18,74,2,18,42,0,34,0,0,0,0,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,25,6,15,0,0,0,0
18,0,12,71,1,11,39,0,34,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,35,0,0,31,4,14,0,0,0,0
20,0,16,85,1,16,45,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,50,0,0,32,7,13,0,0,0,0
21,0,29,12,32,9,34,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,30,0,0,25,7,11,0,0,0,0
22,0,16,12,26,8,23,0,23,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,12,5,14,0,0,0,0
23,0,17,93,6,17,56,0,43,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,0,0,0,0,0,0,0,56,0,0,36,7,17,0,0,0,0
